Airline,Departure,Arrival,Price,Duration,Flight_num
Austrian,"03:45
تهران (IKA)","03:45
تهران (IKA)","116,495,915",7 ساعت و 50 دقیقه,872
Pegasus,"04:15
تهران (IKA)","04:15
تهران (IKA)","56,772,452",8 ساعت و 10 دقیقه,PC513
Qatar Airways,"04:45
تهران (IKA)","04:45
تهران (IKA)","86,684,090",10 ساعت و 20 دقیقه,491
Qatar Airways,"22:50
تهران (IKA)","22:50
تهران (IKA)","86,684,090",16 ساعت و 15 دقیقه,499
Qatar Airways,"15:05
تهران (IKA)","15:05
تهران (IKA)","87,525,090",24 ساعت,483
Emirates,"04:30
تهران (IKA)","04:30
تهران (IKA)","94,808,080",10 ساعت و 20 دقیقه,978
Emirates,"11:05
تهران (IKA)","11:05
تهران (IKA)","94,808,080",27 ساعت و 45 دقیقه,972
چند ایرلاین,"00:50
تهران (IKA)","00:50
تهران (IKA)","95,336,080",14 ساعت,2491
چند ایرلاین,"15:10
تهران (IKA)","15:10
تهران (IKA)","95,336,080",23 ساعت و 40 دقیقه,2303
چند ایرلاین,"04:45
تهران (IKA)","04:45
تهران (IKA)","101,194,860",14 ساعت و 5 دقیقه,491
چند ایرلاین,"22:50
تهران (IKA)","22:50
تهران (IKA)","101,194,860",20 ساعت,499
چند ایرلاین,"22:50
تهران (IKA)","22:50
تهران (IKA)","102,470,860",14 ساعت و 5 دقیقه,499
چند ایرلاین,"04:45
تهران (IKA)","04:45
تهران (IKA)","102,470,860",14 ساعت و 10 دقیقه,491
چند ایرلاین,"04:45
تهران (IKA)","04:45
تهران (IKA)","103,082,860",15 ساعت و 5 دقیقه,491
Turkish Airlines,"03:15
تهران (IKA)","03:15
تهران (IKA)","103,086,911",9 ساعت و 40 دقیقه,875
Turkish Airlines,"02:05
تهران (IKA)","02:05
تهران (IKA)","103,086,911",10 ساعت و 50 دقیقه,881
Turkish Airlines,"07:55
تهران (IKA)","07:55
تهران (IKA)","103,086,911",11 ساعت و 30 دقیقه,879
Turkish Airlines,"06:30
تهران (IKA)","06:30
تهران (IKA)","103,086,911",12 ساعت و 55 دقیقه,873
AnadoluJet,"05:20
تهران (IKA)","05:20
تهران (IKA)","103,879,911",10 ساعت و 35 دقیقه,7689
چند ایرلاین,"04:45
تهران (IKA)","04:45
تهران (IKA)","105,652,860",14 ساعت,491
چند ایرلاین,"22:50
تهران (IKA)","22:50
تهران (IKA)","105,652,860",19 ساعت و 55 دقیقه,499
چند ایرلاین,"15:05
تهران (IKA)","15:05
تهران (IKA)","106,493,860",27 ساعت و 40 دقیقه,483
چند ایرلاین,"03:15
تهران (IKA)","03:15
تهران (IKA)","106,521,911",12 ساعت و 40 دقیقه,875
چند ایرلاین,"02:05
تهران (IKA)","02:05
تهران (IKA)","106,521,911",13 ساعت و 50 دقیقه,881
چند ایرلاین,"05:20
تهران (IKA)","05:20
تهران (IKA)","107,843,911",14 ساعت و 5 دقیقه,7689
AnadoluJet,"04:00
تهران (IKA)","04:00
تهران (IKA)","113,560,911",11 ساعت و 55 دقیقه,7881
AnadoluJet,"03:50
تهران (IKA)","03:50
تهران (IKA)","113,560,911",12 ساعت و 5 دقیقه,7727
چند ایرلاین,"04:00
تهران (IKA)","04:00
تهران (IKA)","114,882,911",15 ساعت و 25 دقیقه,7881
چند ایرلاین,"04:00
تهران (IKA)","04:00
تهران (IKA)","114,882,911",15 ساعت و 25 دقیقه,7881
چند ایرلاین,"03:50
تهران (IKA)","03:50
تهران (IKA)","114,882,911",15 ساعت و 35 دقیقه,7727
چند ایرلاین,"03:50
تهران (IKA)","03:50
تهران (IKA)","114,882,911",15 ساعت و 35 دقیقه,7727
Lufthansa,"02:30
تهران (IKA)","02:30
تهران (IKA)","124,144,815",12 ساعت و 20 دقیقه,601
Lufthansa,"02:30
تهران (IKA)","02:30
تهران (IKA)","127,548,815",23 ساعت و 25 دقیقه,601
چند ایرلاین,"02:30
تهران (IKA)","02:30
تهران (IKA)","135,406,165",17 ساعت و 25 دقیقه,601
Lufthansa,"02:30
تهران (IKA)","02:30
تهران (IKA)","138,665,165",11 ساعت و 30 دقیقه,601
Lufthansa,"02:30
تهران (IKA)","02:30
تهران (IKA)","142,069,165",22 ساعت و 40 دقیقه,601
Lufthansa,"02:30
تهران (IKA)","02:30
تهران (IKA)","145,080,005",10 ساعت و 55 دقیقه,601
چند ایرلاین,"22:50
تهران (IKA)","22:50
تهران (IKA)","151,617,750",16 ساعت,499
چند ایرلاین,"22:50
تهران (IKA)","22:50
تهران (IKA)","165,007,490",14 ساعت و 35 دقیقه,499
چند ایرلاین,"04:45
تهران (IKA)","04:45
تهران (IKA)","165,007,490",15 ساعت و 15 دقیقه,491
چند ایرلاین,"02:30
تهران (IKA)","02:30
تهران (IKA)","179,970,036",14 ساعت و 10 دقیقه,4021
چند ایرلاین,"02:30
تهران (IKA)","02:30
تهران (IKA)","184,329,774",32 ساعت و 55 دقیقه,4021
چند ایرلاین,"02:30
تهران (IKA)","02:30
تهران (IKA)","207,416,988",14 ساعت و 10 دقیقه,4021
چند ایرلاین,"03:45
تهران (IKA)","03:45
تهران (IKA)","535,682,830",10 ساعت و 15 دقیقه,872
چند ایرلاین,"03:45
تهران (IKA)","03:45
تهران (IKA)","537,283,830",9 ساعت و 40 دقیقه,872
چند ایرلاین,"02:30
تهران (IKA)","02:30
تهران (IKA)","543,232,860",10 ساعت و 55 دقیقه,601
چند ایرلاین,"03:45
تهران (IKA)","03:45
تهران (IKA)","546,456,830",13 ساعت و 15 دقیقه,872
چند ایرلاین,"03:45
تهران (IKA)","03:45
تهران (IKA)","546,905,830",11 ساعت و 35 دقیقه,872
چند ایرلاین,"03:45
تهران (IKA)","03:45
تهران (IKA)","547,252,830",10 ساعت و 35 دقیقه,872
چند ایرلاین,"03:45
تهران (IKA)","03:45
تهران (IKA)","547,513,830",11 ساعت و 45 دقیقه,872
چند ایرلاین,"03:45
تهران (IKA)","03:45
تهران (IKA)","547,574,830",10 ساعت و 15 دقیقه,872
چند ایرلاین,"03:45
تهران (IKA)","03:45
تهران (IKA)","549,175,830",9 ساعت و 40 دقیقه,872
